id,SEQ.,Usina,size,Number,Tipo,Delivery date,Leilao,Potencia,"Garantia
Física (MWmédio)",Lotes Vendidos,Preço (R$/MW),Localização,Fonte,Mod.,Invest. Previsto  (R$),empresa_consorcio,Year,price_US$,inv_US$,GDP growth,Risk (EMBI+),Gross capital formation (% of GDP),FDI (% of GDP),Primary energy consumption (exajoules),G,exch,inv US$ billion
606,6,EOL Serra das VAcas II,0.026,39,A-3,2016,Leilão 9/2013,30,9.9,9.9,122.88,nocity / PE ,Vento,PIE,"122,640,000.00",Consórcio Serra das Vacas II : Pec Energia Ltda (51%) e Companhia Hidro Elétrica do São Francisco – Chesf (49%),2013,52.46797609,52365500,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.0523655
607,7,EOL Serra das VAcas III,0.026,39,A-3,2016,Leilão 9/2013,30,11,11,122.88,nocity / PE ,Vento,PIE,"122,640,000.00",Consórcio Serra das Vacas III: Pec Energia Ltda (51%) e Companhia Hidro Elétrica do São Francisco – Chesf (49%),2013,52.46797609,52365500,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.0523655
608,8,EOL Serra das VAcas IV,0.026,39,A-3,2016,Leilão 9/2013,30,10.5,10.5,122.88,nocity / PE ,Vento,PIE,"122,640,000.00",Consórcio Serra das Vacas IV: Pec Energia Ltda (51%) e Companhia Hidro Elétrica do São Francisco – Chesf (49%),2013,52.46797609,52365500,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.0523655
609,119,EOL Vila Pará III,0.008,119,A-5,2018,Leilão 10/2013,30,13.9,10.5,120.37,nocity / RN ,Vento,PIE,"90,882,430.00","Consórcio Voltalia:  
Voltalia Energia do Brasil Ltda. (5 % - Líder)
Voltalia S.A. (95 %)",2013,51.39624253,38805478,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.038805478
610,3,PCH Linha Aparecida,0.008,119,A-5,2018,Leilão 10/2013,24.92,13.78,11.7,136.98,nocity / RS ,hidro,PIE,"134,476,550.00",COOGERVA Linha Aparecida Energia S.A.,2013,58.48847139,57419535,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.057419535
611,4,PCH Linha Jacinto,0.008,119,A-5,2018,Leilão 10/2013,17.41,9.87,9.3,137.98,nocity / RS ,hidro,PIE,"101,616,060.00",COOGERVA Linha Jacinto Energia S.A.,2013,58.91545687,43388582,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043388582
612,7,PCH Jardim,0.008,119,A-5,2018,Leilão 10/2013,9,4.46,1.1,139,nocity / RS ,hidro,PIE,"35,437,000.00",Hidrelétrica Jardim Ltda.,2013,59.35098207,15131085,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.015131085
613,53,EOL Ventos de Santa Joana II,0.015,66,LER,2015,Leilão 5/2013,30,14.8,14.3,109.99,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana II:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A.(14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.96413322,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
614,54,EOL Ventos de Santa Joana IX,0.015,66,LER,2015,Leilão 5/2013,30,15.8,13.2,109.96,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana IX:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95132365,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
615,55,EOL Ventos de Santa Joana VI,0.015,66,LER,2015,Leilão 5/2013,30,15.1,15.1,109.99,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana VI:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A.(14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.96413322,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
616,56,EOL Ventos de Santa Joana VIII,0.015,66,LER,2015,Leilão 5/2013,30,15.7,15.6,109.98,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana VIII:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A.(14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95986336,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
617,57,EOL Ventos de Santa Joana X,0.015,66,LER,2015,Leilão 5/2013,30,16,13.6,109.96,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana X:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95132365,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
618,58,EOL Ventos de Santa Joana XI,0.015,66,LER,2015,Leilão 5/2013,30,16,14.1,109.96,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana XI:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95132365,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
619,59,EOL Ventos de Santa Joana XII,0.015,66,LER,2015,Leilão 5/2013,30,16.9,15.3,109.96,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana XII:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95132365,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
620,60,EOL Ventos de Santa Joana XIII,0.015,66,LER,2015,Leilão 5/2013,30,16,13.4,109.96,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana XIII:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95132365,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
621,61,EOL Ventos de Santa Joana XIV,0.015,66,LER,2015,Leilão 5/2013,30,14.9,14.7,109.99,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana XIV:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.96413322,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
622,62,EOL Ventos de Santa Joana XV,0.015,66,LER,2015,Leilão 5/2013,30,16.2,15,109.96,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana XV:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95132365,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
623,63,EOL Ventos de Santa Joana XVI,0.015,66,LER,2015,Leilão 5/2013,30,17.4,15.3,109.96,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santa Joana XVI:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santa Joana Energias Renováveis S.A. (0,1%)",2013,46.95132365,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
624,64,EOL Ventos de Santo Onofre I,0.015,66,LER,2015,Leilão 5/2013,30,16.2,16,109.98,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santo Onofre I:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santo Onofre Energias Renováveis S.A. (0,1%)",2013,46.95986336,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
625,65,EOL Ventos de Santo Onofre II,0.015,66,LER,2015,Leilão 5/2013,30,16.6,15.9,109.98,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santo Onofre II:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santo Onofre Energias Renováveis S.A. (0,1%)
",2013,46.95986336,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
626,66,EOL Ventos de Santo Onofre III,0.015,66,LER,2015,Leilão 5/2013,30,16.7,16.7,109.98,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santo Onofre III:
Companhia Hidro Elétrica do São Francisco – CHESF (49%)
Contour Global do Brasil Holding Ltda. (36%)
Salus Fundo de Investimento em Participações S.A. (14,9%)
Ventos de Santo Onofre Energias Renováveis S.A. (0,1%)",2013,46.95986336,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
627,12,UTE Canto do Buriti,0.053,19,A-5,2018,Leilão 6/2013,150,119.1,119.1,136.69,nocity / PI ,cavaco,PIE,"469,407,000.00",Canto do Buriti Bioeletricidade S.A.,2013,58.3646456,200429974,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.200429974
628,21,EOL Ventos de Santa Joana I,0.026,39,A-3,2016,Leilão 9/2013,30,14.7,14.7,125.37,nocity / PI ,Vento,PIE,"105,250,000.00","Consórcio Ventos de Santa Joana I: Ventos de Santa Joana Energias Renováveis S.A. (00,10%), Salus - Fundo de Investimento em Participações (04,90%), Companhia Hidro Elétrica do São Francisco – Chesf (49%) e Contour Global do Brasil Holding Ltda. (46%)",2013,53.53116994,44940222,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.044940222
629,22,EOL Ventos de Santa Joana III,0.026,39,A-3,2016,Leilão 9/2013,30,14.3,13.4,125.37,nocity / PI ,Vento,PIE,"105,250,000.00","Consórcio Ventos de Santa Joana III: Ventos de Santa Joana Energias Renováveis S.A. (00,10%), Salus - Fundo de Investimento em Participações (04,90%), Companhia Hidro Elétrica do São Francisco – Chesf (49%) e Contour Global do Brasil Holding Ltda. (46%)",2013,53.53116994,44940222,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.044940222
630,23,EOL Ventos de Santa Joana IV,0.026,39,A-3,2016,Leilão 9/2013,30,14.2,14.2,125.37,nocity / PI ,Vento,PIE,"105,250,000.00","Consórcio Ventos de Santa Joana IV: Ventos de Santa Joana Energias Renováveis S.A. (00,10%), Salus - Fundo de Investimento em Participações (04,90%), Companhia Hidro Elétrica do São Francisco – Chesf (49%) e Contour Global do Brasil Holding Ltda. (46%)",2013,53.53116994,44940222,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.044940222
631,24,EOL Ventos de Santa Joana V,0.026,39,A-3,2016,Leilão 9/2013,30,14.1,14.1,125.37,nocity / PI ,Vento,PIE,"105,250,000.00","Consórcio Ventos de Santa Joana V: Ventos de Santa Joana Energias Renováveis S.A. (00,10%), Salus - Fundo de Investimento em Participações (04,90%), Companhia Hidro Elétrica do São Francisco – Chesf (49%) e Contour Global do Brasil Holding Ltda. (46%)",2013,53.53116994,44940222,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.044940222
632,25,EOL Ventos de Santa Joana VII,0.026,39,A-3,2016,Leilão 9/2013,30,14.8,14.8,125.37,nocity / PI ,Vento,PIE,"105,250,000.00","Consórcio Ventos de Santa Joana VII: Ventos de Santa Joana Energias Renováveis S.A. (00,10%), Salus - Fundo de Investimento em Participações (04,90%), Companhia Hidro Elétrica do São Francisco – Chesf (49%) e Contour Global do Brasil Holding Ltda. (46%)",2013,53.53116994,44940222,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.044940222
633,26,EOL Ventos de Santo Augusto III,0.026,39,A-3,2016,Leilão 9/2013,30,15.6,14,125.38,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santo Augusto III: Ventos de Santo Augusto Energias Renováveis S.A. (00,01%) e Salus - Fundo de Investimento em Participações (99,99%)",2013,53.5354398,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
634,27,EOL Ventos de Santo Augusto IV,0.026,39,A-3,2016,Leilão 9/2013,30,15.7,15.4,125.37,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santo Augusto IV: Ventos de Santo Augusto Energias Renováveis S.A. (00,10%), Salus - Fundo de Investimento em Participações (04,90%), Companhia Hidro Elétrica do São Francisco – Chesf (49%) e Contour Global do Brasil Holding Ltda. (46%)",2013,53.53116994,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
635,28,EOL Ventos de Santo Augusto V,0.026,39,A-3,2016,Leilão 9/2013,30,16.2,13.4,125.38,nocity / PI ,Vento,PIE,"102,940,000.00","Consórcio Ventos de Santo Augusto V: Ventos de Santo Augusto Energias Renováveis S.A. (00,01%) e Salus - Fundo de Investimento em Participações (99,99%)",2013,53.5354398,43953886,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.043953886
636,8,PCH Morro Grande,0.008,119,A-5,2018,Leilão 10/2013,9.8,4.38,1.1,139,nocity / RS ,hidro,PIE,"27,096,000.00",Hidrelétrica Morro Grande Ltda.,2013,59.35098207,11569599,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.011569599
637,28,EOL Aura Mangueira IV,0.008,119,A-5,2018,Leilão 10/2013,22,9.7,9.7,119.48,nocity / RS ,Vento,PIE,"81,290,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,34709650,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.03470965
638,29,EOL Aura Mangueira VI,0.008,119,A-5,2018,Leilão 10/2013,28,12.3,12.3,119.48,nocity / RS ,Vento,PIE,"103,460,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,44175918,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.044175918
639,30,EOL Aura Mangueira XI,0.008,119,A-5,2018,Leilão 10/2013,10,4.3,4.3,119.48,nocity / RS ,Vento,PIE,"36,950,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,15777114,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.015777114
640,31,EOL Aura Mangueira XII,0.008,119,A-5,2018,Leilão 10/2013,16,6.9,6.9,119.48,nocity / RS ,Vento,PIE,"59,120,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,25243382,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.025243382
641,32,EOL Aura Mangueira XIII,0.008,119,A-5,2018,Leilão 10/2013,14,6,6,119.49,nocity / RS ,Vento,PIE,"51,730,000.00",Atlantic Energias Renováveis S.A.,2013,51.0204953,22087959,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.022087959
642,33,EOL Aura Mangueira XV,0.008,119,A-5,2018,Leilão 10/2013,18,7.9,7.9,119.48,nocity / RS ,Vento,PIE,"66,510,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,28398804,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.028398804
643,2,PCH Cantu 2,0.053,19,A-5,2018,Leilão 6/2013,18,9.5,9.5,128.99,nocity / PR ,hidro,PIE,"112,082,180.00",Cantu Energética S.A.,2013,55.07685739,47857464,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.047857464
644,34,EOL Aura Mangueira XVII,0.008,119,A-5,2018,Leilão 10/2013,14,5.8,5.8,119.48,nocity / RS ,Vento,PIE,"51,730,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,22087959,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.022087959
645,35,EOL Aura Mirim IV,0.008,119,A-5,2018,Leilão 10/2013,14,6,6,119.5,nocity / RS ,Vento,PIE,"51,730,000.00",Atlantic Energias Renováveis S.A.,2013,51.02476516,22087959,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.022087959
646,36,EOL Aura Mirim VI,0.008,119,A-5,2018,Leilão 10/2013,8,3.4,3.4,119.48,nocity / RS ,Vento,PIE,"29,560,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,12621691,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.012621691
647,37,EOL Aura Mirim VIII,0.008,119,A-5,2018,Leilão 10/2013,8,3.3,3.3,119.48,nocity / RS ,Vento,PIE,"29,560,000.00",Atlantic Energias Renováveis S.A.,2013,51.01622545,12621691,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.012621691
648,2,PCH Ado Popinhak,0.008,119,A-5,2018,Leilão 10/2013,19.3,10.44,10.4,135.9,nocity / SC ,hidro,PIE,"99,698,680.00",Companhia Energética Canoas,2013,58.02732707,42569889,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.042569889
649,6,PCH Garça Branca,0.008,119,A-5,2018,Leilão 10/2013,6.5,3.4,3.2,137.86,nocity / SC ,hidro,PIE,"37,382,820.00",Garça Branca Energética Ltda.,2013,58.86421862,15961921,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.015961921
650,11,PCH Pito,0.008,119,A-5,2018,Leilão 10/2013,4,2.3,2.3,134.9,nocity / SC ,hidro,PIE,"23,871,000.00",Pinhal Geradora de Energia S.A.,2013,57.60034159,10192570,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.01019257
651,24,EOL Carnaúba I,0.015,66,LER,2015,Leilão 5/2013,22,9.4,9.1,111.82,nocity / RN ,Vento,PIE,"84,535,880.00","Consórcio Carnaúba I:
Fundo de Investimento em Participações Caixa Milão (50,99%)
Furnas Centrais Elétricas S.A. (49%)
Central Geradora Eólica Carnaúba I Ltda. (0,01%)",2013,47.74551665,36095594,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.036095594
652,25,EOL Carnaúba II,0.015,66,LER,2015,Leilão 5/2013,18,7.3,7.1,111.85,nocity / RN ,Vento,PIE,"69,199,000.00","Consórcio Carnaúba II:
Fundo de Investimento em Participações Caixa Milão (50,99%)
Furnas Centrais Elétricas S.A. (49%)
Central Geradora Eólica Carnaúba II Ltda. (0,01%)",2013,47.75832622,29546968,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.029546968
653,26,EOL Carnaúba III,0.015,66,LER,2015,Leilão 5/2013,16,7.5,7.1,111.83,nocity / RN ,Vento,PIE,"61,947,000.00","Consórcio Carnaúba III:
Fundo de Investimento em Participações Caixa Milão (50,99%)
Furnas Centrais Elétricas S.A. (49%)
Central Geradora Eólica Carnaúba III Ltda. (0,01%)",2013,47.74978651,26450470,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.02645047
654,27,EOL Carnaúba V,0.015,66,LER,2015,Leilão 5/2013,24,10.1,9.8,111.81,nocity / RN ,Vento,PIE,"92,203,960.00","Consórcio Carnaúba V:
Fundo de Investimento em Participações Caixa Milão (50,99%)
Furnas Centrais Elétricas S.A. (49%)
Central Geradora Eólica Carnaúba V Ltda. (0,01%)",2013,47.7412468,39369752,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.039369752
655,28,EOL Cervantes I,0.015,66,LER,2015,Leilão 5/2013,16,7.1,6.9,111.81,nocity / RN ,Vento,PIE,"61,530,550.00","Consórcio Cervantes I:
Fundo de Investimento em Participações Caixa Milão (50,99%)
Furnas Centrais Elétricas S.A. (49%)
Central Geradora Eólica Cervantes I Ltda. (0,01%)",2013,47.7412468,26272652,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.026272652
656,29,EOL Cervantes II,0.015,66,LER,2015,Leilão 5/2013,12,5.6,5.4,111.84,nocity / RN ,Vento,PIE,"46,193,720.00","Consórcio Cervantes II:
Fundo de Investimento em Participações Caixa Milão (50,99%)
Furnas Centrais Elétricas S.A.(49%)
Central Geradora Eólica Cervantes II Ltda. (0,01%)",2013,47.75405636,19724048,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.019724048
657,30,EOL Punaú I,0.015,66,LER,2015,Leilão 5/2013,24,11,10.7,111.81,nocity / RN ,Vento,PIE,"92,203,960.00","Consórcio Punaú I:
Fundo de Investimento em Participações Caixa Milão (50,99%)
Furnas Centrais Elétricas S.A. (49%)
Central Geradora Eólica Punaú I Ltda. (0,01%)",2013,47.7412468,39369752,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.039369752
658,19,UTE Santa Cândida II,0.008,119,A-5,2018,Leilão 10/2013,55,23.1,22.8,133.02,nocity / SP ,Bagaço de Cana,PIE,"218,840,730.00","Consórcio USC II:  
Energisa S.A. (99,99 % - Líder)
Energisa Bioeletricidade Santa Cândida II S.A. (0,01 %)",2013,56.79760888,93441815,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.093441815
659,33,EOL Cabo Verde 4,0.015,66,LER,2015,Leilão 5/2013,29.9,10.1,101,114.99,nocity / RS ,Vento,PIE,"113,620,000.00",Enerfin do Brasil Sociedade de Energia Ltda.,2013,49.09906063,48514091,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.048514091
660,34,EOL Cabo Verde 5,0.015,66,LER,2015,Leilão 5/2013,16.1,5.4,5.4,114.9,nocity / RS ,Vento,PIE,"61,180,000.00",Enerfin do Brasil Sociedade de Energia Ltda.,2013,49.06063194,26122972,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.026122972
661,35,EOL Granja Vargas 2,0.015,66,LER,2015,Leilão 5/2013,18.4,6.5,6.5,114.9,nocity / RS ,Vento,PIE,"69,920,000.00",Enerfin do Brasil Sociedade de Energia Ltda.,2013,49.06063194,29854825,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.029854825
662,36,EOL Granja Vargas 3,0.015,66,LER,2015,Leilão 5/2013,16.1,5.6,5.6,114.9,nocity / RS ,Vento,PIE,"61,180,000.00",Enerfin do Brasil Sociedade de Energia Ltda.,2013,49.06063194,26122972,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.026122972
663,1,EOL Capão do Inglês,0.026,39,A-3,2016,Leilão 9/2013,10,3.9,2.8,126,nocity / RS ,Vento,PIE,"53,879,530.00","Consórcio Capão do Inglês: Eletrosul Centrais Elétricas S.A. (99,99%) e Renobrax Energias Renováveis Ltda. (00,01%)",2013,53.80017079,23005777,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.023005777
664,3,EOL Chuí 09,0.026,39,A-3,2016,Leilão 9/2013,20,7.8,5.5,123.9,nocity / RS ,Vento,PIE,"96,129,150.00","Consórcio Chuí 09: Eletrosul Centrais Elétricas S.A. (99,99%) e Renobrax Energias Renováveis Ltda. (00,01%)",2013,52.90350128,41045751,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.041045751
665,4,EOL Coxilha Seca,0.026,39,A-3,2016,Leilão 9/2013,30,11.8,8.3,126,nocity / RS ,Vento,PIE,"132,366,920.00","Consórcio Coxilha Seca: Eletrosul Centrais Elétricas S.A. (99,99%) e Renobrax Energias Renováveis Ltda. (00,01%)",2013,53.80017079,56518753,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.056518753
666,9,EOLCurupira,0.026,39,A-3,2016,Leilão 9/2013,25,9.6,9.2,125.9,nocity / RS ,Vento,PIE,"96,038,510.00","Consórcio Curupira: Companhia Estadual de Geração e Transmissão de Energia Elétrica (99,99%) e Central Geradora Eólica Curupira Ltda. (00,01%)",2013,53.75747225,41007050,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.04100705
667,10,EOL Pontal 2A,0.026,39,A-3,2016,Leilão 9/2013,21.6,7.1,7.1,125.9,nocity / RS ,Vento,PIE,"97,362,000.00",Enerplan Energia Eólica IV S.A.,2013,53.75747225,41572161,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.041572161
668,11,EOL Fazenda Vera Cruz,0.026,39,A-3,2016,Leilão 9/2013,22.5,8.5,8.2,125.9,nocity / RS ,Vento,PIE,"86,452,990.00","Consórcio Fazenda Vera Cruz: Companhia Estadual de Geração e Transmissão de Energia Elétrica (99,99%) e Central Geradora Eólica Fazenda Vera Cruz Ltda (00,01%)",2013,53.75747225,36914172,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.036914172
669,12,EOL Galpões,0.026,39,A-3,2016,Leilão 9/2013,8,3,2.1,126,nocity / RS ,Vento,PIE,"45,975,800.00","Consórcio Galpões: Eletrosul Centrais Elétricas S.A. (99,99%) e Renobrax Energias Renováveis Ltda. (00,01%)",2013,53.80017079,19630999,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.019630999
670,20,EOL Povo Novo,0.026,39,A-3,2016,Leilão 9/2013,7.5,2.9,2.9,125.9,nocity / RS ,Vento,PIE,"32,583,650.00","Consórcio Povo Novo: Companhia Estadual de Geração e Transmissão de Energia Elétrica (99,99%) e Central Geradora Eólica Povo Novo Ltda. (00,01%)",2013,53.75747225,13912746,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.013912746
671,29,EOL Verace 24,0.026,39,A-3,2016,Leilão 9/2013,22,9.2,6.5,123.9,nocity / RS ,Vento,PIE,"105,742,050.00","Consórcio Verace 24: Eletrosul Centrais Elétricas S.A. (99,99%) e Renobrax Energias Renováveis Ltda. (00,01%)",2013,52.90350128,45150320,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.04515032
672,30,EOL Verace 25,0.026,39,A-3,2016,Leilão 9/2013,8,3.3,2.4,123.9,nocity / RS ,Vento,PIE,"38,451,650.00","Consórcio Verace 25: Eletrosul Centrais Elétricas S.A. (99,99%) e Renobrax Energias Renováveis Ltda. (00,01%)",2013,52.90350128,16418296,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.016418296
673,31,EOL Verace 26,0.026,39,A-3,2016,Leilão 9/2013,16,7,4.9,123.9,nocity / RS ,Vento,PIE,"76,903,310.00","Consórcio Verace 26: Eletrosul Centrais Elétricas S.A. (99,99%) e Renobrax Energias Renováveis Ltda. (00,01%)",2013,52.90350128,32836597,3.004846305,205,21.69376694,3.041524491,12.13,264500.8,2.342,0.032836597
