id,SEQ.,Usina,size,Number,Tipo,Delivery date,Leilao,Potencia,"Garantia
Física (MWmédio)",Lotes Vendidos,Preço (R$/MW),Localização,Fonte,Mod.,Invest. Previsto  (R$),empresa_consorcio,Year,price_US$,inv_US$,GDP growth,Risk (EMBI+),Gross capital formation (% of GDP),FDI (% of GDP),Primary energy consumption (exajoules),G,exch,inv US$ billion
360,29,EOL Pitombeira,0.024,42,A-5,2016,Leilão 7/2011,27,13.9,12.2,107.7,nocity / CE,Vento,PIE,"91,226,000.00","Consórcio Pitombeira: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Pitombeira Ltda",2011,57.4369367,48651272,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.048651272
361,30,EOL Santa Catarinha,0.024,42,A-5,2016,Leilão 7/2011,16,8.5,7.5,107.7,nocity / CE,Vento,PIE,"52,855,000.00","Consórcio Santa Catarina:
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Santa Catarina Ltda",2011,57.4369367,28187830,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.02818783
362,31,EOL São Clemente,0.024,42,A-5,2016,Leilão 7/2011,19.2,9.3,8.2,107.69,nocity / CE,Vento,PIE,"71,633,000.00","Consórcio São Clemente: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica São Clemente Ltda",2011,57.43160365,38202229,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.038202229
363,35,EOL Caiçara I,0.024,42,A-5,2016,Leilão 7/2011,30.6,14.6,13.5,107.98,nocity / CE,Vento,PIE,"100,893,000.00","Consórcio Caiçara I:
Voltalia Energia do Brasil Ltda.
Voltalia S.A.
Companhia Hidro Elétrica do São Francisco",2011,57.58626207,53806730,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.05380673
364,36,EOL Caiçara II,0.024,42,A-5,2016,Leilão 7/2011,19.8,9.6,9.3,107.98,nocity / CE,Vento,PIE,"67,768,000.00","Consórcio Caiçara II:
Voltalia Energia do Brasil Ltda.
Voltalia S.A.
Companhia Hidro Elétrica do São Francisco",2011,57.58626207,36141006,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.036141006
365,38,EOL Junco I,0.024,42,A-5,2016,Leilão 7/2011,30.6,13.1,12.1,107.98,nocity / CE,Vento,PIE,"100,893,000.00","Consórcio Junco I:
Voltalia Energia do Brasil Ltda.
Voltalia S.A.
Companhia Hidro Elétrica do São Francisco",2011,57.58626207,53806730,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.05380673
366,39,EOL Junco II,0.024,42,A-5,2016,Leilão 7/2011,30.6,13.3,11.4,107.98,nocity / CE,Vento,PIE,"100,893,000.00","Consórcio Junco II:
Voltalia Energia do Brasil Ltda.
Voltalia S.A.
Companhia Hidro Elétrica do São Francisco",2011,57.58626207,53806730,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.05380673
367,6,EOL Cataventos Paracuru 1,0.02,51,A-3,2014,Leilão 2/2011,30,14.2,14.2,102.97,nocity / CE,Vento,PIE,"117,432,000.00","Consórcio Cataventos Paracuru 1:
Cataventos do Paracuru, Ltda
Tecneira - Tecnologias Energéticas, S.A.",2011,54.91440457,62627060,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06262706
368,36,EOL Santo Antonio de Pádua,0.02,51,A-3,2014,Leilão 2/2011,16.1,8.2,6.4,104.23,nocity / CE,Vento,PIE,"61,727,000.00",Central Eólica Santo Antônio de Pádua S.A.,2011,55.58636873,32919311,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.032919311
369,37,EOL São Cristóvão,0.02,51,A-3,2014,Leilão 2/2011,29.9,14.2,12.9,103.79,nocity / CE,Vento,PIE,"111,343,000.00",Central Eólica São Cristóvão S.A.,2011,55.35171458,59379766,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.059379766
370,38,EOL São Jorge,0.02,51,A-3,2014,Leilão 2/2011,27.6,13.2,12.1,103.98,nocity / CE,Vento,PIE,"104,897,000.00",Central Eólica São Jorge S.A.,2011,55.4530425,55942083,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.055942083
371,34,UTE Porto das Águas (II Fase),0.024,42,A-5,2016,Leilão 7/2011,50,37.7,20,103.46,nocity / GO,bagaco,PIE,"149,100,000.00",Usina Porto das Águas Ltda,2011,55.17572396,79515759,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.079515759
372,22,UTE Maranhão III,0.02,51,A-3,2014,Leilão 2/2011,499.2,470.7,400,101.9,nocity / MA,Gás Natural,PIE,"1,111,055,000.00",MPX Energia S.A.,2011,54.34376833,592531065,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.592531065
373,2,EOL Marco dos Ventos 1,0.024,42,A-5,2016,Leilão 7/2011,28.8,16.3,16.3,104.34,nocity / MA,Vento,PIE,"105,970,000.00",Bioenergy Geradora de Energia S.A.,2011,55.64503226,56514319,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.056514319
374,3,EOL Marco dos Ventos 2,0.024,42,A-5,2016,Leilão 7/2011,28.8,16.3,16.3,104.62,nocity / MA,Vento,PIE,"105,970,000.00",Bioenergy Geradora de Energia S.A.,2011,55.79435763,56514319,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.056514319
375,41,UTE Vale do Tijuco II,0.02,51,A-3,2014,Leilão 2/2011,40,30,9,102.3,nocity / MG,bagaco,PIE,"68,720,000.00",Vale do Tijuco Açúcar e Álcool Ltda.,2011,54.55709029,36648712,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.036648712
376,19,UTE Iaco,0.02,51,A-3,2014,Leilão 2/2011,30,12.8,4,101.99,nocity / MS,bagaco,PIE,"74,276,490.00",Iaco Agrícola S.A.,2011,54.39176577,39612015,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.039612015
377,29,UTE Passa Tempo,0.02,51,A-3,2014,Leilão 2/2011,67.8,24.2,21.8,103.29,nocity / MS,bagaco,PIE,"139,709,320.00",LDC Bioenergia S.A.,2011,55.08506213,74507664,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.074507664
378,30,EOL Pau Ferro,0.02,51,A-3,2014,Leilão 2/2011,30,14.9,5.5,98.54,nocity / PE ,Vento,PIE,"145,200,000.00","Consórcio EGP - Fontes dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Fontes dos Ventos Ltda.",2011,52.5518639,77435870,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.07743587
379,31,EOL Pedra do Gerônimo,0.02,51,A-3,2014,Leilão 2/2011,30,12.4,3.6,98.56,nocity / PE ,Vento,PIE,"139,980,000.00","Consórcio EGP - Fontes dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Fontes dos Ventos Ltda.",2011,52.56253,74652019,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.074652019
380,40,EOL Tacaicó,0.02,51,A-3,2014,Leilão 2/2011,18,8.8,4,98.55,nocity / PE ,Vento,PIE,"89,724,000.00","Consórcio EGP - Fontes dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Fontes dos Ventos Ltda.",2011,52.55719695,47850248,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.047850248
381,15,EOL Delta do Parnaíba,0.02,51,A-3,2014,Leilão 2/2011,28.8,15,14.8,100.13,nocity / PI ,Vento,PIE,"108,568,910.00","Consórcio Omega - Complexo Delta: 
Omega Energia Renovável S.A.
Seawest do Brasil - Projetos e Participações Ltda.
Zeta Energia S.A.",2011,53.39981868,57900331,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.057900331
382,34,EOL Porto das Barcas,0.02,51,A-3,2014,Leilão 2/2011,28.8,14.8,8.9,100.16,nocity / PI ,Vento,PIE,"108,568,910.00","Consórcio Omega - Complexo Delta: 
Omega Energia Renovável S.A.
Seawest do Brasil - Projetos e Participações Ltda.
Zeta Energia S.A.",2011,53.41581782,57900331,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.057900331
383,35,EOL Porto Salgado,0.02,51,A-3,2014,Leilão 2/2011,18,9.1,9.1,100.17,nocity / PI ,Vento,PIE,"67,855,580.00","Consórcio Omega - Porto Salgado 
Omega Energia Renovável S.A.
Zeta Energia S.A.",2011,53.42115087,36187713,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.036187713
384,3,UTE Baixada Fluminense,0.02,51,A-3,2014,Leilão 2/2011,530,430.2,299,104.75,nocity / PR ,Gás Natural,PIE,"986,321,620.00",Petróleo Brasileiro S.A.,2011,55.86368727,526010144,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.526010144
385,22,Parque Eólico Lanchinha,0.024,41,Reserva,2014,Leilão 3/2011,28,13.2,13.2,101.68,nocity / RN ,Vento,PIE,"102,222,000.00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L",2011,54.22644126,54515493,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.054515493
386,5,EOL Baixa do Feijão I,0.024,42,A-5,2016,Leilão 7/2011,30,14.8,14.4,97,nocity / RN ,Vento,PIE,"117,027,700.00",EDP Renováveis Brasil S.A.,2011,51.73057437,62411445,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.062411445
387,6,EOL Baixa do Feijão  II,0.024,42,A-5,2016,Leilão 7/2011,30,14.4,14,97,nocity / RN ,Vento,PIE,"117,027,700.00",EDP Renováveis Brasil S.A.,2011,51.73057437,62411445,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.062411445
388,7,EOL Baixa do Feijão  III,0.024,42,A-5,2016,Leilão 7/2011,30,14.3,13.9,97,nocity / RN ,Vento,PIE,"117,027,700.00",EDP Renováveis Brasil S.A.,2011,51.73057437,62411445,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.062411445
